raw_q2_id,book_id,title,author,q2_text,q2_status,source_basis,notes
RQ2-0154,83,两种孤独,[哥]加夫列尔·加西亚·马尔克斯 [秘]马里奥·巴尔加斯·略萨,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0155,85,更富有、更睿智、更快乐：世界顶尖投资者是如何在市场和生活中实现双赢的,威廉·格林,《更富有、更睿智、更快乐》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0156,85,更富有、更睿智、更快乐：世界顶尖投资者是如何在市场和生活中实现双赢的,威廉·格林,该书提供了哪些应对不确定性的策略框架？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0157,86,精神与爱欲,[德]赫尔曼·黑塞,《精神与爱欲》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0158,86,精神与爱欲,[德]赫尔曼·黑塞,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0159,88,支配与抵抗艺术：潜隐剧本,詹姆斯·C.斯科特,《支配与抵抗艺术》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0160,88,支配与抵抗艺术：潜隐剧本,詹姆斯·C.斯科特,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0161,89,问题就是答案,阿兰·皮斯,《问题就是答案》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0162,89,问题就是答案,阿兰·皮斯,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0163,90,人工智能：现代方法,斯图尔特·罗素,《人工智能》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0164,90,人工智能：现代方法,斯图尔特·罗素,这本书如何连接数学抽象与工程实现？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0165,91,深度学习的数学,涌井良幸 涌井贞美,《深度学习的数学》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0166,91,深度学习的数学,涌井良幸 涌井贞美,该书强调了哪些可复用的建模与评估原则？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0167,92,Python深度学习,[美]弗朗索瓦·肖莱,《Python深度学习》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0168,92,Python深度学习,[美]弗朗索瓦·肖莱,这本书如何连接数学抽象与工程实现？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0169,92,Python深度学习,[美]弗朗索瓦·肖莱,该书强调了哪些可复用的建模与评估原则？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0170,93,深度学习进阶：自然语言处理,斋藤康毅,《深度学习进阶》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0171,93,深度学习进阶：自然语言处理,斋藤康毅,该书强调了哪些可复用的建模与评估原则？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0172,95,系统之美,德内拉·梅多斯,《系统之美》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0173,95,系统之美,德内拉·梅多斯,该书给出了哪些识别反馈回路的具体方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0174,96,农民的道义经济学：东南亚的反叛与生存,詹姆斯·C.斯科特,《农民的道义经济学》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0175,96,农民的道义经济学：东南亚的反叛与生存,詹姆斯·C.斯科特,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0176,97,细雪,[日]谷崎润一郎,《细雪》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0177,97,细雪,[日]谷崎润一郎,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0178,98,痴人之爱,[日]谷崎润一郎,《痴人之爱》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0179,98,痴人之爱,[日]谷崎润一郎,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0180,99,呼吸秋千,赫塔·米勒,《呼吸秋千》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0181,99,呼吸秋千,赫塔·米勒,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0182,100,德米安：彷徨少年时,[德]赫尔曼·黑塞,《德米安》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0183,100,德米安：彷徨少年时,[德]赫尔曼·黑塞,书中如何处理价值判断与行动选择之间的关系？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0184,101,荒原狼,[德]赫尔曼·黑塞,《荒原狼》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0185,101,荒原狼,[德]赫尔曼·黑塞,这本书通过人物关系揭示了哪些核心冲突？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0186,103,原则：应对变化中的世界秩序,瑞·达利欧,《原则》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0187,103,原则：应对变化中的世界秩序,瑞·达利欧,这本书如何解释制度设计与执行之间的张力？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0188,104,失控：全人类的最终命运和结局,凯文·凯利,《失控》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0189,104,失控：全人类的最终命运和结局,凯文·凯利,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0190,105,高效能人士的七个习惯,史蒂芬·柯维,《高效能人士的七个习惯》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0191,105,高效能人士的七个习惯,史蒂芬·柯维,该书提出了哪些可执行的偏差修正方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0192,106,社会契约论,[法]卢梭,《社会契约论》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0193,106,社会契约论,[法]卢梭,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0194,107,必然,[美]凯文·凯利,《必然》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0195,107,必然,[美]凯文·凯利,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0196,108,矩阵力量：线性代数全彩图解+微课+Python编程,姜伟生,《矩阵力量》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0197,108,矩阵力量：线性代数全彩图解+微课+Python编程,姜伟生,这本书如何连接数学抽象与工程实现？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0198,108,矩阵力量：线性代数全彩图解+微课+Python编程,姜伟生,该书强调了哪些可复用的建模与评估原则？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0199,109,格特露德,[德]赫尔曼·黑塞,《格特露德》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0200,109,格特露德,[德]赫尔曼·黑塞,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0201,110,一间自己的房间,[英]伍尔夫,《一间自己的房间》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0202,110,一间自己的房间,[英]伍尔夫,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
